date,platform,title,company,location,link,status
2026-01-30 17:24:06,Indeed,Analista Administração de Pessoal Jr,BFA ALIMENTOS,"Americana, SP",https://br.indeed.com/rc/clk?jk=79129185cb711f89&bb=KBq_GrTFAQj6ODZYSDc2G-QD1lI6tRnNI5PioE_DD-WfDJh_8uH-PY9k0pp1CmH9QaiN3aAHEZkAlQobwG1V4HG6w-JkPieMjbQcgKBKfc6PdUk-4rT8Clwk-M4YFoQoj8r8oDjTVqyj0y9ofPKubmXzWQx6cfKW&xkcb=SoDN67M3nIZz08ATu70IbzkdCdPP&fccid=dd616958bd9ddc12&vjs=3,ALREADY_APPLIED_ON_SITE
2026-01-30 17:24:32,Indeed,"Estágio de Licenciatura em Exatas (Matemática, Física ou Química) | Saúde",Rede Decisão,"São Paulo, SP",https://br.indeed.com/rc/clk?jk=678c931cfdd5c0e8&bb=KBq_GrTFAQj6ODZYSDc2G7ODdzStsf4xvSIzhTMi8XMQCPnpPLjT0BSWJk0z6_8jsbctebCEA0N01xfliyebQ_vfY99Hq5buGGopTmkOrNEkSsxRTD6oWom5Nf30XhlqJT-jQd-vtNyMr0b10c65f0Oql8P1akWP&xkcb=SoBD67M3nIZz08ATu70PbzkdCdPP&fccid=0168cd7599ab2d6e&vjs=3,ALREADY_APPLIED_ON_SITE
2026-01-30 17:24:59,Indeed,DIRETOR DE SUPPLY CHAIN - SÃO PAULO,GRUPO BFFC,"São Paulo, SP",https://br.indeed.com/rc/clk?jk=a8ad8be5da467d94&bb=KBq_GrTFAQj6ODZYSDc2G5ApTjwWjtz1MXeCgMvsuzwFeBzZr4CrhEbORTxT4GACG47pHcCfpirvcyhAKg4rzDBhT78z2XFQ_qyCYEQNJWmPJ2wn8SBgV92BdQMIPXrAY4DN7vHuRKWcRt6yZ0W_Mo9aXJL03UW_&xkcb=SoD367M3nIZz08ATu70ObzkdCdPP&fccid=f148e74564124ca2&vjs=3,ALREADY_APPLIED_ON_SITE
2026-01-30 17:25:32,Indeed,2181795 - MEDICO TRABALHO (A),Administração,"São Paulo, SP",https://br.indeed.com/rc/clk?jk=1edab1b02679a7fa&bb=KBq_GrTFAQj6ODZYSDc2Gx1gPApxscmbrsrNWOoZYgpSvxeG9kc645SSaZyrNDiUc5ssVj4P0f8fEJFF5yNQ2Uk8571Lx8dK6CZwvzAMCpjsB93nKI1wQPtANUMenU8vh0xE-lC6ntYtWCWmK4CzMD-HHhraGS8K&xkcb=SoBq67M3nIZz08ATu70NbzkdCdPP&fccid=3af6a430b174a591&vjs=3,ALREADY_APPLIED_ON_SITE
2026-01-30 17:26:04,Indeed,Técnica | Técnico de Produção JR - Alumina,CBA,"Alumínio, SP",https://br.indeed.com/rc/clk?jk=16dea536d50a3743&bb=KBq_GrTFAQj6ODZYSDc2GyFcDnoHYO4f-hHZOrhOGNT5ipehJ709Ge2t8L2OmKl8ZvrEIPZjL_umVjjF4iTkElr2yiHPZYXgWcFATMaDj9ULlMEjeirJ6Rf0RZxwi_8BSeUzHTq7YkwMzhVvQq957bW2GaQbha_I&xkcb=SoDe67M3nIZz08ATu70MbzkdCdPP&fccid=7d168e09824d400a&vjs=3,ALREADY_APPLIED_ON_SITE
2026-01-30 17:26:26,Indeed,Analista Apoio Administrativo JR (Facilities),Laboratório Cristália,"Itapira, SP",https://br.indeed.com/rc/clk?jk=73faa476ce6db746&bb=KBq_GrTFAQj6ODZYSDc2G59mtg9ATG0nUFWAZEKxK7oW8hBYEpNGa9mYmiuToYjLCyAQz7K-rWQ8nhSwB0AiiOZv5Sx4NvWqeC4o_NeA1KPFn0tMNJdhPhY_1do1MVECjgeSYidOUZo9kGURtF1zixvYcFCV3Emk&xkcb=SoA367M3nIZz08ATu70DbzkdCdPP&fccid=a55fb8d6b4cf2fb8&vjs=3,ALREADY_APPLIED_ON_SITE
2026-01-30 17:31:12,LinkedIn,"Estágio Finanças
Estágio Finanças with verification",Hyundai Motor Company,"São Paulo, São Paulo, Brasil (Híbrido)",https://www.linkedin.com/jobs/view/4366744685/?eBP=CwEAAAGcEJlTS3BWlrn_cZuxGn7fALHFVzeTi1PQwN9cQi48Y5ka_SHwJLSUN6Jk0WyoWGRl7LFN3GhV4b5-mZFB1l_W3wdob6DUw7txJCAiUL0EPG4Kpaz-eL2SVkxFISWERButtksIYr3G92dNweVLNF6CI2iZ193ZGx-t4HW88TvT3Jp6oLgX1uP7gKw21Nn8-s_NiJFEDttp20UCP33zptQEDMAdSsjv6EBxPEenI21TbGRiPqtgp7jPwf1O-qkeG4eFF6U0d_FtugBYnXvScd3t0xJkUR-Z6mv8cI3AzmduyBWJWY0p2ZT6nX45qlVNkEfuQqowKI16RSSsGStgE5h0XxNUdHKLwOpyli--Fiim5zBTQuk-sFWnigL9HuS4jE_ysnKQWb4FwG5QaaqDv9-3NiITto9inJBNgWk8TUJxypZWAhYx0L7p-25F1RqyyJYGqE6YNobd8jq6pw5Ld_d4jiaZJXkx6oluIb-X-1yh-CNEgaH_lNeAttbgZ2VICn2GbtdqBYCXt-6xI7PIYzwKm8FGEVHyhQZriG2XFw&refId=rTNDUnv8NvjOiIKoNwz%2FqA%3D%3D&trackingId=X2VPK3DpZYDGmoAvo0IU2Q%3D%3D&trk=flagship3_search_srp_jobs,ALREADY_APPLIED_ON_SITE
2026-01-30 17:32:04,LinkedIn,"Estágio em Backoffice
Estágio em Backoffice",Nelogica,"São Paulo, São Paulo, Brasil (Presencial)",https://www.linkedin.com/jobs/view/4356223187/?eBP=BUDGET_EXHAUSTED_JOB&refId=rTNDUnv8NvjOiIKoNwz%2FqA%3D%3D&trackingId=wEj0k3WKT%2BDOoYKOkzPv%2Fw%3D%3D&trk=flagship3_search_srp_jobs,ALREADY_APPLIED_ON_SITE
2026-01-30 17:33:27,LinkedIn,"Atendente de cafeteria
Atendente de cafeteria",Kopenhagen Franquias,"São Paulo, São Paulo, Brasil (Presencial)",https://www.linkedin.com/jobs/view/4356556951/?eBP=CwEAAAGcEJtrhnZSPF4IW6EyioEEXZz3l3c1bl5GpjTkmJWxp21oajKJipJkZ0Zrnd7_kxYP9w3MYrHuDGCX8VGEqSkKVgwq7RnoYH4aUzMfw6RDg1gZ-wrWxJ_aJ2LGxAY2z7P_gWaGW7_Ivqp1DoyhH0KwrOp5zces3KAR1vtCRQmaiFhpf5b9Qvwk3mm_l406QhhsEkf3GvQj_IpIgFw9ab0Wm9Zs2RJG-KsVxDVKsJsKRONtOLWpZKr90ZsitBvBZxug8lNYH4Iix2o-leTv1EsPcZM99mLRT3ZRiVhXX9eJLpLX2leYzXLW1Fcce8AQqf_atUiTzju9j25gjydKIap5MsgoPwK46rceCVYRGyV21LaFbbo9cnq9YoZ5et-S9w4LcYtzrhkrsHHqfcfAhf9dWVmFXrAfTB58d6RAL-1rgec1ZXI6GaIZ6sn-KyiyndijEGVUt8pHcDQ74z1na1bSndn6vrfusj0pw66CUO4Np3bHpJOWl7U3wEhb41_L7NVC41KWHURgvaa0gMIQEhyKJ1uhamfIbBpzkZQ6iWSsOGS2YAYySw&refId=WvQstintABmwfSCtCTrssQ%3D%3D&trackingId=9r%2BH9%2F4eivoxAYhyPMqJSQ%3D%3D&trk=flagship3_search_srp_jobs,ALREADY_APPLIED_ON_SITE
2026-01-30 17:34:25,LinkedIn,"Estagiário Administrativo
Estagiário Administrativo",MedCof,"São Paulo, São Paulo, Brasil (Presencial)",https://www.linkedin.com/jobs/view/4356810674/?eBP=BUDGET_EXHAUSTED_JOB&refId=WvQstintABmwfSCtCTrssQ%3D%3D&trackingId=syqNX%2BV0w1StwWpG5Lxf8Q%3D%3D&trk=flagship3_search_srp_jobs,ALREADY_APPLIED_ON_SITE
